"pct","n","n_correct","bucket_size","accuracy"
0,17,4,1,0.235294117647059
0.06,168,30,1,0.178571428571429
0.07,310,77,1,0.248387096774194
0.08,329,65,1,0.197568389057751
0.09,352,95,1,0.269886363636364
0.1,76,20,1,0.263157894736842
0.11,82,16,1,0.195121951219512
0.12,102,23,1,0.225490196078431
0.13,95,24,1,0.252631578947368
0.14,108,22,1,0.203703703703704
0.15,129,21,1,0.162790697674419
0.16,151,34,1,0.225165562913907
0.17,233,35,1,0.150214592274678
0.18,420,88,1,0.20952380952381
0.19,827,159,1,0.192261185006046
0.2,607,117,1,0.192751235584843
0.21,122,24,1,0.19672131147541
0.22,191,41,1,0.214659685863874
0.23,339,89,1,0.262536873156342
0.24,278,70,1,0.251798561151079
0.25,488,122,1,0.25
0.26,293,74,1,0.252559726962457
0.27,130,35,1,0.269230769230769
0.28,30,12,1,0.4
0.29,1,1,1,1
0.51,1,0,1,0
0.52,8,2,1,0.25
0.53,39,15,1,0.384615384615385
0.54,113,64,1,0.566371681415929
0.55,207,109,1,0.526570048309179
0.56,236,133,1,0.563559322033898
0.57,204,107,1,0.524509803921569
0.58,209,116,1,0.555023923444976
0.59,153,92,1,0.601307189542484
0.6,128,74,1,0.578125
0.61,94,57,1,0.606382978723404
0.62,80,44,1,0.55
0.63,80,48,1,0.6
0.64,60,28,1,0.466666666666667
0.65,64,33,1,0.515625
0.66,81,50,1,0.617283950617284
0.67,83,47,1,0.566265060240964
0.68,92,48,1,0.521739130434783
0.69,90,61,1,0.677777777777778
0.7,76,40,1,0.526315789473684
0.71,95,58,1,0.610526315789474
0.72,97,55,1,0.56701030927835
0.73,140,73,1,0.521428571428571
0.74,104,58,1,0.557692307692308
0.75,86,48,1,0.558139534883721
0.76,52,24,1,0.461538461538462
0.77,34,21,1,0.617647058823529
0.78,28,15,1,0.535714285714286
0.79,16,11,1,0.6875
0.8,21,11,1,0.523809523809524
0.81,23,11,1,0.478260869565217
0.82,19,13,1,0.684210526315789
0.83,31,19,1,0.612903225806452
0.84,29,16,1,0.551724137931034
0.85,26,16,1,0.615384615384615
0.86,18,10,1,0.555555555555556
0.87,5,4,1,0.8
0.88,8,6,1,0.75
0.93,1,0,1,0
1,8,4,1,0.5
0,17,4,2,0.235294117647059
0.06,168,30,2,0.178571428571429
0.08,991,237,2,0.239152371342079
0.1,76,20,2,0.263157894736842
0.12,279,63,2,0.225806451612903
0.14,108,22,2,0.203703703703704
0.16,513,90,2,0.175438596491228
0.18,420,88,2,0.20952380952381
0.2,1556,300,2,0.19280205655527
0.22,191,41,2,0.214659685863874
0.24,1105,281,2,0.254298642533937
0.26,293,74,2,0.252559726962457
0.28,161,48,2,0.298136645962733
0.52,48,17,2,0.354166666666667
0.54,113,64,2,0.566371681415929
0.56,647,349,2,0.539412673879444
0.58,209,116,2,0.555023923444976
0.6,375,223,2,0.594666666666667
0.62,80,44,2,0.55
0.64,204,109,2,0.534313725490196
0.66,81,50,2,0.617283950617284
0.68,265,156,2,0.588679245283019
0.7,76,40,2,0.526315789473684
0.72,332,186,2,0.560240963855422
0.74,104,58,2,0.557692307692308
0.76,172,93,2,0.540697674418605
0.78,28,15,2,0.535714285714286
0.8,60,33,2,0.55
0.82,19,13,2,0.684210526315789
0.84,86,51,2,0.593023255813954
0.86,18,10,2,0.555555555555556
0.88,13,10,2,0.769230769230769
0.92,1,0,2,0
1,8,4,2,0.5
0,17,4,5,0.235294117647059
0.05,478,107,5,0.223849372384937
0.1,941,219,5,0.232731137088204
0.15,716,136,5,0.189944134078212
0.2,2167,429,5,0.197969543147208
0.25,1528,390,5,0.255235602094241
0.3,31,13,5,0.419354838709677
0.5,9,2,5,0.222222222222222
0.55,799,428,5,0.53566958698373
0.6,664,383,5,0.576807228915663
0.65,368,206,5,0.559782608695652
0.7,450,262,5,0.582222222222222
0.75,416,224,5,0.538461538461538
0.8,107,61,5,0.570093457943925
0.85,109,65,5,0.596330275229358
0.9,8,6,5,0.75
0.95,1,0,5,0
1,8,4,5,0.5
0,17,4,10,0.235294117647059
0.1,1622,372,10,0.229346485819975
0.2,3785,800,10,0.211360634081902
0.3,454,122,10,0.268722466960352
0.5,161,81,10,0.503105590062112
0.6,1515,841,10,0.555115511551155
0.7,858,490,10,0.571095571095571
0.8,365,205,10,0.561643835616438
0.9,32,20,10,0.625
1,8,4,10,0.5
